match id,team1,team2,outcome,winner,by,win amount,player of match,toss winner,toss decision,match type,venue,city,match_dt,lighting,series_name,season,ground_id,umpire1,umpire2,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,team1_id,team1_roster_names,team1_roster_ids,team2_id,team2_roster_names,team2_roster_ids,ingestion_timestamp
8587893,Sy Tr,Ht Hs,normal,Ht Hs,wickets,6,BR Mt,Ht Hs,field,T20,Ma Ol,Canberra,2021-01-18,night match,Bg Bh Le,2020/21,5312,GJ Davidson,AK Wilds,177,5,120,181,4,115,33963,UT Ka:AD Hs:O Ds:CJ Fn:SW Bs:BJ Cg:DR Ss:CJ Gn:N Mw:AF Me:T Sa,1506098.0:1749075.0:7534652.0:36665.0:2083409.0:1612610.0:5788320.0:5509524.0:5497274.0:3156033.0:8193310.0,33928,WG Js:DM St:BR Mt:DJ Mn:PP Hb:TH Dd:MJ On:NT Es:SM Bd:RP Mh:S Le,6282856.0:2161599.0:4223883.0:1655436.0:2340372.0:6249256.0:8497866.0:5788418.0:3125849.0:6732004.0:6722540.0,2022/02/18 03:12:45
8587907,Ae Ss,Sy Ss,normal,Sy Ss,wickets,7,JR Pe,Sy Ss,field,T20,Ca Ol,Carrara,2021-01-03,night match,Bg Bh Le,2020/21,6663,GJ Davidson,AK Wilds,150,4,120,151,3,108,33914,PD St:MT Rw:AT Cy:JW Ws:J Wd:RJ Gn:Rd Kn:DJ Wl:DR Bs:WA Ar:PM Se,4685568.0:5056134.0:2285051.0:1635773.0:5469008.0:5776490.0:5554254.0:3901099.0:2170762.0:6718844.0:55299.0,33956,JR Pe:J Es:JM Ve:DP Hs:JC Sk:DT Cn:CR Be:BJ Ds:BD Mi:JT Bl:L Pe,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:4756982.0:7455818.0:2904943.0:7537060.0,2022/02/18 03:12:45
8587914,Me Rs,Be Ht,normal,Be Ht,wickets,5,JA Bs,Be Ht,field,T20,Ma Ol,Canberra,2021-01-14,night match,Bg Bh Le,2020/21,5312,GA Abood,GJ Davidson,149,6,120,150,5,117,33942,MW Hy:SE Mh:SB Hr:AJ Fh:J Fk:BJ Wr:JA Pe:Id Wm:KW Rn:P Hu:Nr Ad,7534687.0:46794.0:5406540.0:37351.0:8176356.0:2669316.0:6842170.0:1594319.0:1905847.0:8339701.0:8277716.0,33921,M Bt:CA Ln:JL Dy:L Gy:JA Bs:JJ By:JJ Pn:JD Wh:MT Se:MP Kn:M Ml:XC Bt,7620269.0:2286472.0:87191.0:2535420.0:2286437.0:4967738.0:3114803.0:3995991.0:3890984.0:5419546.0:325779.0:7353828.0,2022/02/18 03:12:45
8587921,Ht Hs,Me Ss,normal,Ht Hs,runs,21,SM Bd,Me Ss,field,T20,Be Ol,Hobart,2021-01-02,day/night match,Bg Bh Le,2020/21,6348,GA Abood,NR Johnstone,164,5,120,143,9,120,33928,BR Mt:DM St:DJ Mn:NT Es:CA Im:TH Dd:PP Hb:J Ba:SM Bd:RP Mh:S Le,4223883.0:2161599.0:1655436.0:5788418.0:319948.0:6249256.0:2340372.0:309056.0:3125849.0:6732004.0:6722540.0,33949,AS Fr:MP Ss:HR Ct:GJ Ml:N Pn:BR Dk:SL Rd:LC Hr:LR Ms:B Se:Zr Kn:NJ Mn,363047.0:2275097.0:3901078.0:2275195.0:4230127.0:2720759.0:2337117.0:6308098.0:7877232.0:3731307.0:4985546.0:2336473.0,2022/02/18 03:12:45
8587942,Ae Ss,Sy Tr,normal,Ae Ss,runs,6,PM Se,Ae Ss,bat,T20,Ae Ol,Adelaide,2021-01-24,day/night match,Bg Bh Le,2020/21,930,GA Abood,AK Wilds,159,6,120,153,7,120,33914,AT Cy:J Wd:PD St:TM Hd:RJ Gn:MT Rw:MG Nr:DR Bs:WA Ar:LN Or:PM Se,2285051.0:5469008.0:4685568.0:3710090.0:5776490.0:5056134.0:2633196.0:2170762.0:6718844.0:2340729.0:55299.0,33963,UT Ka:AD Hs:CJ Fn:O Ds:SW Bs:AI Rs:CJ Gn:BJ Cg:N Mw:AF Me:B Dt:T Sa,1506098.0:1749075.0:36665.0:7534652.0:2083409.0:2335381.0:5509524.0:1612610.0:5497274.0:3156033.0:6521234.0:8193310.0,2022/02/18 03:12:45
8587949,Be Ht,Me Rs,normal,Be Ht,runs,26,M Le,Be Ht,bat,T20,Ds Sm,Melbourne,2021-01-23,day/night match,Bg Bh Le,2020/21,8252,DM Koch,SJ Nogajski,173,5,120,147,10,114,33921,CA Ln:M Bt:M Le:JL Dy:JA Bs:L Gy:JJ Pn:MT Se:XC Bt:MJ Sn:B Ln,2286472.0:7620269.0:5515922.0:87191.0:2286437.0:2535420.0:3114803.0:3890984.0:7353828.0:4132295.0:2209374.0,33942,SE Mh:AJ Fh:SB Hr:J Fk:MW Hy:BJ Wr:Id Wm:JA Pe:JK Lr:Z Es:P Hu,46794.0:37351.0:5406540.0:8176356.0:7534687.0:2669316.0:1594319.0:6842170.0:1906708.0:7620297.0:8339701.0,2022/02/18 03:12:45
8587956,Ph Ss,Me Ss,normal,Ph Ss,runs,11,JJ Ry,Me Ss,field,T20,Me Ct Gd,Melbourne,2021-01-23,night match,Bg Bh Le,2020/21,440,MW Graham-Smith,PJ Gillespie,182,4,120,171,6,120,33935,JJ Ry:LS Le:C Mo:JP Is:MR Mh:AJ Tr:AM He:JA Rn:AJ Te:JP Bf:Fd Ad,2089079.0:2827327.0:1626526.0:4635658.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,33949,MP Ss:SE Gh:NR Ln:GJ Ml:NJ Mn:NM Ce:HR Ct:CD He:A Za:B Se:Zr Kn,2275097.0:3501882.0:3737103.0:2275195.0:2336473.0:1829491.0:3901078.0:5419532.0:2656541.0:3731307.0:4985546.0,2022/02/18 03:12:45
8587970,Sy Tr,Be Ht,normal,Be Ht,wickets,5,JA Bs,Sy Tr,bat,T20,Be Ct Gd,Brisbane,2021-01-04,night match,Bg Bh Le,2020/21,1476,PJ Gillespie,AK Wilds,174,8,120,175,5,120,33963,UT Ka:AD Hs:CJ Fn:SW Bs:O Ds:DR Ss:BJ Cg:CJ Gn:N Mw:AF Me:T Sa:CP Tn,1506098.0:1749075.0:36665.0:2083409.0:7534652.0:5788320.0:1612610.0:5509524.0:5497274.0:3156033.0:8193310.0:3876613.0,33921,M Bt:CA Ln:JL Dy:JA Bs:L Gy:JJ Pn:JJ By:JD Wh:MT Se:XC Bt:Mb Ur Rn:MP Kn,7620269.0:2286472.0:87191.0:2286437.0:2535420.0:3114803.0:4967738.0:3995991.0:3890984.0:7353828.0:6818776.0:5419546.0,2022/02/18 03:12:45
8587984,Ph Ss,Me Rs,normal,Ph Ss,runs,96,JP Is,Me Rs,field,T20,Ph Sm,Perth,2021-01-03,day match,Bg Bh Le,2020/21,23841,MW Graham-Smith,SA Lightbody,185,3,120,89,10,80,33935,JJ Ry:LS Le:JP Is:C Mo:MR Mh:AJ Tr:AM He:JA Rn:AJ Te:JP Bf:Fd Ad,2089079.0:2827327.0:4635658.0:1626526.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,33942,SB Hr:SE Mh:AJ Fh:BJ Wr:Md Ni:RR Rw:JA Pe:KW Rn:JK Lr:P Hu:Nr Ad,5406540.0:46794.0:37351.0:2669316.0:181404.0:2231928.0:6842170.0:1905847.0:1906708.0:8339701.0:8277716.0,2022/02/18 03:12:45
8587998,Be Ht,Sy Ss,normal,Sy Ss,wickets,3,DT Cn,Sy Ss,field,T20,Ca Ol,Carrara,2021-01-10,night match,Bg Bh Le,2020/21,6663,GJ Davidson,AK Wilds,148,10,120,152,7,120,33921,M Bt:CA Ln:JL Dy:JA Bs:JJ Pn:L Gy:JJ By:JD Wh:MT Se:XC Bt:Mb Ur Rn,7620269.0:2286472.0:87191.0:2286437.0:3114803.0:2535420.0:4967738.0:3995991.0:3890984.0:7353828.0:6818776.0,33956,JR Pe:J Es:JM Ve:DP Hs:JC Sk:DT Cn:CR Be:SJ Oe:JM Bd:JT Bl:L Pe,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:49496.0:1506077.0:2904943.0:7537060.0,2022/02/18 03:12:45
8588005,Me Rs,Sy Tr,normal,Sy Tr,runs,7,AD Hs,Sy Tr,field,T20,Ca Ol,Carrara,2021-01-01,night match,Bg Bh Le,2020/21,6663,D Taylor,PJ Gillespie,166,6,106,117,2,74,33942,AJ Fh:SE Mh:SB Hr:RR Rw:Md Ni:Id Wm:MW Hy:W Sd:KW Rn:P Hu:M Py,37351.0:46794.0:5406540.0:2231928.0:181404.0:1594319.0:7534687.0:7537067.0:1905847.0:8339701.0:7620346.0,33963,UT Ka:AD Hs:CJ Fn:SW Bs:O Ds:DR Ss:BJ Cg:CJ Gn:N Mw:CP Tn:T Sa,1506098.0:1749075.0:36665.0:2083409.0:7534652.0:5788320.0:1612610.0:5509524.0:5497274.0:3876613.0:8193310.0,2022/02/18 03:12:45
8588012,Ht Hs,Ph Ss,normal,Ph Ss,wickets,9,JJ Ry,Ht Hs,bat,T20,Ph Sm,Perth,2021-01-12,day/night match,Bg Bh Le,2020/21,23841,MW Graham-Smith,NR Johnstone,139,5,120,140,1,99,33928,BR Mt:DM St:DJ Mn:PP Hb:CA Im:TH Dd:MJ On:NT Es:SM Bd:RP Mh:S Le,4223883.0:2161599.0:1655436.0:2340372.0:319948.0:6249256.0:8497866.0:5788418.0:3125849.0:6732004.0:6722540.0,33935,JJ Ry:LS Le:JP Is:CT Bt:AJ Tr:AM He:JA Rn:AJ Te:JP Bf:Fd Ad:KR Pn:MR Mh,2089079.0:2827327.0:4635658.0:3507090.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0:3535783.0:1907163.0,2022/02/18 03:12:45
8588019,Me Ss,Sy Ss,normal,Sy Ss,wickets,5,BJ Ds,Sy Ss,field,T20,Me Ct Gd,Melbourne,2021-01-26,night match,Bg Bh Le,2020/21,440,PJ Gillespie,SAJ Craig,177,6,120,180,5,120,33949,MP Ss:SE Gh:NR Ln:GJ Ml:NJ Mn:HR Ct:NM Ce:SL Rd:A Za:B Se:Zr Kn,2275097.0:3501882.0:3737103.0:2275195.0:2336473.0:3901078.0:1829491.0:2337117.0:2656541.0:3731307.0:4985546.0,33956,JR Pe:JM Ve:DP Hs:MC Hs:JC Sk:CR Be:DT Cn:SA At:BJ Ds:SJ Oe:JT Bl:JM Bd,7869987.0:2076192.0:4002340.0:41740.0:3063696.0:3200756.0:34061.0:2790675.0:4756982.0:49496.0:2904943.0:1506077.0,2022/02/18 03:12:45
8588026,Ae Ss,Be Ht,normal,Ae Ss,runs,82,AT Cy,Ae Ss,bat,T20,Ae Ol,Adelaide,2021-01-21,night match,Bg Bh Le,2020/21,930,GA Abood,GJ Davidson,197,5,120,115,10,106,33914,AT Cy:J Wd:TM Hd:PD St:RJ Gn:MT Rw:MG Nr:PM Se:DR Bs:WA Ar:LN Or,2285051.0:5469008.0:3710090.0:4685568.0:5776490.0:5056134.0:2633196.0:55299.0:2170762.0:6718844.0:2340729.0,33921,M Le:CA Ln:JL Dy:JA Bs:L Gy:M Bt:JJ Pn:JD Wh:MT Se:MJ Sn:XC Bt:M Ml,5515922.0:2286472.0:87191.0:2286437.0:2535420.0:7620269.0:3114803.0:3995991.0:3890984.0:4132295.0:7353828.0:325779.0,2022/02/18 03:12:45
8588033,Me Rs,Ht Hs,normal,Me Rs,runs,11,Z Es,Ht Hs,field,T20,Me Ct Gd,Melbourne,2021-01-26,day/night match,Bg Bh Le,2020/21,440,DR Close,MW Graham-Smith,150,5,120,139,9,120,33942,SE Mh:AJ Fh:SB Hr:J Fk:MW Hy:BJ Wr:Id Wm:JA Pe:W Sd:Z Es:P Hu,46794.0:37351.0:5406540.0:8176356.0:7534687.0:2669316.0:1594319.0:6842170.0:7537067.0:7620297.0:8339701.0,33928,MS We:DM St:BR Mt:DJ Mn:WG Js:PP Hb:TH Dd:NT Es:SM Bd:RP Mh:S Le:NP Wr,1611364.0:2161599.0:4223883.0:1655436.0:6282856.0:2340372.0:6249256.0:5788418.0:3125849.0:6732004.0:6722540.0:3510499.0,2022/02/18 03:12:45
8588040,Sy Tr,Sy Ss,normal,Sy Ss,wickets,5,SJ Oe,Sy Ss,field,T20,Ma Ol,Canberra,2021-01-13,night match,Bg Bh Le,2020/21,5312,GA Abood,AK Wilds,166,6,120,132,5,78,33963,UT Ka:AD Hs:CJ Fn:SW Bs:AI Rs:DR Ss:BJ Cg:N Mw:AF Me:JD Ck:T Sa,1506098.0:1749075.0:36665.0:2083409.0:2335381.0:5788320.0:1612610.0:5497274.0:3156033.0:7960966.0:8193310.0,33956,JR Pe:J Ao:JM Ve:DP Hs:JC Sk:DT Cn:CR Be:SJ Oe:JM Bd:JT Bl:L Pe,7869987.0:7880018.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:49496.0:1506077.0:2904943.0:7537060.0,2022/02/18 03:12:45
8588047,Be Ht,Ph Ss,normal,Be Ht,runs,6,M Le,Ph Ss,field,T20,Ae Ol,Adelaide,2021-01-26,day match,Bg Bh Le,2020/21,930,GJ Davidson,AK Wilds,181,7,120,175,6,120,33921,CA Ln:M Bt:M Le:JL Dy:JA Bs:L Gy:JJ Pn:JD Wh:MT Se:MJ Sn:B Ln:XC Bt,2286472.0:7620269.0:5515922.0:87191.0:2286437.0:2535420.0:3114803.0:3995991.0:3890984.0:4132295.0:2209374.0:7353828.0,33935,JJ Ry:LS Le:C Mo:JP Is:MR Mh:AJ Tr:AM He:JA Rn:AJ Te:JP Bf:Fd Ad,2089079.0:2827327.0:1626526.0:4635658.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,2022/02/18 03:12:45
8588061,Me Rs,Me Ss,normal,Me Ss,wickets,6,LC Hr,Me Rs,bat,T20,Me Ct Gd,Melbourne,2021-01-17,night match,Bg Bh Le,2020/21,440,DM Koch,SAJ Craig,150,10,120,153,4,120,33942,AJ Fh:SE Mh:SB Hr:J Fk:MW Hy:BJ Wr:Id Wm:W Sd:KW Rn:P Hu:Nr Ad,37351.0:46794.0:5406540.0:8176356.0:7534687.0:2669316.0:1594319.0:7537067.0:1905847.0:8339701.0:8277716.0,33949,AS Fr:MP Ss:NR Ln:GJ Ml:NJ Mn:HR Ct:SE Gh:A Za:LC Hr:B Se:Zr Kn,363047.0:2275097.0:3737103.0:2275195.0:2336473.0:3901078.0:3501882.0:2656541.0:6308098.0:3731307.0:4985546.0,2022/02/18 03:12:45
8588068,Ph Ss,Sy Ss,normal,Sy Ss,wickets,7,JR Pe,Ph Ss,bat,T20,Ma Ol,Canberra,2021-01-16,night match,Bg Bh Le,2020/21,5312,GA Abood,AK Wilds,163,7,120,164,3,114,33935,JJ Ry:LS Le:C Mo:AJ Tr:JP Is:CT Bt:AM He:JA Rn:AJ Te:JP Bf:Fd Ad,2089079.0:2827327.0:1626526.0:3501889.0:4635658.0:3507090.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,33956,JR Pe:J Ao:JM Ve:DP Hs:DT Cn:JC Sk:CR Be:SJ Oe:JM Bd:JT Bl:L Pe,7869987.0:7880018.0:2076192.0:4002340.0:34061.0:3063696.0:3200756.0:49496.0:1506077.0:2904943.0:7537060.0,2022/02/18 03:12:45
8588096,Me Ss,Me Rs,normal,Me Rs,wickets,5,MW Hy,Me Ss,bat,T20,Ds Sm,Melbourne,2021-01-20,night match,Bg Bh Le,2020/21,8252,SJ Nogajski,SAJ Craig,158,6,120,160,5,119,33949,AS Fr:MP Ss:NR Ln:NM Ce:GJ Ml:NJ Mn:HR Ct:SE Gh:A Za:LC Hr:Zr Kn,363047.0:2275097.0:3737103.0:1829491.0:2275195.0:2336473.0:3901078.0:3501882.0:2656541.0:6308098.0:4985546.0,33942,SE Mh:AJ Fh:SB Hr:J Fk:JA Pe:MW Hy:BJ Wr:Id Wm:JK Lr:Z Es:P Hu,46794.0:37351.0:5406540.0:8176356.0:6842170.0:7534687.0:2669316.0:1594319.0:1906708.0:7620297.0:8339701.0,2022/02/18 03:12:45
8588110,Sy Tr,Ht Hs,normal,Sy Tr,runs,39,N Mw,Ht Hs,field,T20,Ph Sm,Perth,2021-01-07,day/night match,Bg Bh Le,2020/21,23841,DM Koch,NR Johnstone,167,5,120,128,8,120,33963,UT Ka:AD Hs:CJ Fn:SW Bs:AI Rs:AJ Nr:BJ Cg:N Mw:CJ Gn:AF Me:T Sa,1506098.0:1749075.0:36665.0:2083409.0:2335381.0:6308112.0:1612610.0:5497274.0:5509524.0:3156033.0:8193310.0,33928,BR Mt:DM St:DJ Mn:PP Hb:CA Im:TH Dd:M Wt:NT Es:NP Wr:SM Bd:S Le:J Ba,4223883.0:2161599.0:1655436.0:2340372.0:319948.0:6249256.0:5716402.0:5788418.0:3510499.0:3125849.0:6722540.0:309056.0,2022/02/18 03:12:45
8588145,Me Ss,Ae Ss,normal,Ae Ss,wickets,5,WA Ar,Me Ss,bat,T20,Ae Ol,Adelaide,2021-01-11,night match,Bg Bh Le,2020/21,930,D Taylor,SJ Nogajski,149,7,120,150,5,118,33949,AS Fr:MP Ss:NR Ln:GJ Ml:NJ Mn:HR Ct:SE Gh:A Za:SL Rd:LC Hr:Hs Rf,363047.0:2275097.0:3737103.0:2275195.0:2336473.0:3901078.0:3501882.0:2656541.0:2337117.0:6308098.0:8131255.0,33914,MT Rw:PD St:AT Cy:JW Ws:J Wd:RJ Gn:Rd Kn:DJ Wl:DR Bs:WA Ar:HA Cy,5056134.0:4685568.0:2285051.0:1635773.0:5469008.0:5776490.0:5554254.0:3901099.0:2170762.0:6718844.0:3890998.0,2022/02/18 03:12:45
8588159,Ph Ss,Sy Tr,normal,Ph Ss,runs,17,JA Rn,Sy Tr,field,T20,Ph Sm,Perth,2021-01-09,day/night match,Bg Bh Le,2020/21,23841,DM Koch,MW Graham-Smith,185,6,120,168,10,120,33935,JJ Ry:LS Le:C Mo:JP Is:MR Mh:AJ Tr:AM He:JA Rn:AJ Te:Fd Ad:JP Bf,2089079.0:2827327.0:1626526.0:4635658.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1684276.0:1907352.0,33963,UT Ka:AD Hs:CJ Fn:SW Bs:AI Rs:BJ Cg:N Mw:CJ Gn:AF Me:B Dt:T Sa,1506098.0:1749075.0:36665.0:2083409.0:2335381.0:1612610.0:5497274.0:5509524.0:3156033.0:6521234.0:8193310.0,2022/02/18 03:12:45
8588166,Me Ss,Ht Hs,normal,Me Ss,runs,10,MP Ss,Ht Hs,field,T20,Be Ol,Hobart,2021-01-04,day/night match,Bg Bh Le,2020/21,6348,GA Abood,NR Johnstone,183,6,120,173,6,120,33949,AS Fr:MP Ss:NR Ln:GJ Ml:N Pn:HR Ct:SE Gh:A Za:LC Hr:SL Rd:B Se,363047.0:2275097.0:3737103.0:2275195.0:4230127.0:3901078.0:3501882.0:2656541.0:6308098.0:2337117.0:3731307.0,33928,BR Mt:DM St:DJ Mn:CA Im:TH Dd:PP Hb:NT Es:J Ba:SM Bd:RP Mh:S Le,4223883.0:2161599.0:1655436.0:319948.0:6249256.0:2340372.0:5788418.0:309056.0:3125849.0:6732004.0:6722540.0,2022/02/18 03:12:45
